Population,VehicleSales,VehicleMiles,GasPrices,AutoPhysicalPremiums,PrivatePassengerPremiums
214736,17.071,240456,140.033,15570,19001.086
215422,16.392,243316,125.6,15360,18703.745
216112,18.85,233715,104.933,15990,18911.597
216664,16.979,219841,100.633,15890,19302.151
217204,16.939,245613,120.367,16900,20782.101
217868,17.753,249561,120.767,17080,20857.954
218543,16.882,236821,122.267,17860,21764.89
220109,16.429,219630,137.6,16950,20857.904
220774,16.746,248268,133.333,18190,23026.493
221513,17.554,253414,138.3,18180,22890.326
222276,17.137,242095,131.267,18860,23616.917
222356,16.991,229187,142.8,17720,22815.543
222973,17.087,255195,165.933,18880,24516.383
223680,17.446,257440,162.067,18590,23822.165
224418,17.659,246440,167.867,19160,24587.352
225038,17.064,232408,164.667,17900,23109.028
225674,17.884,259118,188.267,18550,24326.68
226422,18.492,258196,218.9,18230,23633.095
227196,16.345,246754,206.9,18860,24271.5
227764,17.371,236872,199.967,17790,23042.685
228433,16.92,259265,243.833,18900,25067.946
229166,17.03,258077,242.267,18590,24262.674
229896,16.877,250491,193.7,19140,25036.619
230839,16.834,237497,202.187,18060,23166.848
231482,16.486,261848,255.471,19010,25210.071
232210,16.249,261432,242.328,18600,24089.965
232937,16.28,249164,251.851,19120,24811.991
232807,15.438,235533,264.56,17840,23188.966
233410,14.559,257013,318.893,18870,25071.042
234110,13.361,253939,327.468,18500,24194.422
234825,10.614,244685,198.906,18840,24815.37
234913,9.586,230971,162.811,17390,23048.195
235459,9.902,256015,198.652,18390,25119.587
236093,11.952,255580,221.222,17900,24273.092
236739,10.967,243022,223.536,18390,25283.923
236996,10.993,228571,232.76,16930,23772.154
237506,11.694,256982,241.547,18030,25646.039
238104,11.961,257945,233.673,17590,24844.095
238711,12.44,245591,246.397,18030,25840.3
238852,13.049,230126,279.458,16870,24163.902
239316,12.498,254004,326.608,17970,26271.507
239871,12.893,254254,311.016,17560,25376.267
240431,13.757,245084,289.692,18140,26473.678
242436,14.655,233963,308.539,16840,24673.297
242968,14.578,256848,321.031,18360,27159.617
243564,14.641,254497,314.085,18070,26045.652
244169,15.25,244215,302.224,18860,27483.105
244829,15.799,232749,307.061,17700,25802.233
245363,15.947,258483,310.126,19220,28197.924
245961,15.902,258181,308.513,18990,26864.125
246564,15.881,246680,284.607,19820,28525.514
247086,16.198,231262,293.628,18530,26608.743
247625,17.106,262144,317.034,20320,29152.447
248233,17.129,262191,302.792,20170,28002.153
248843,17,252955,250.102,21150,29680.888
249901,17.211,236245,198.489,19900,27643.672
250461,17.825,268077,232.619,21720,30071.731
251099,18.296,268557,227.163,21640,29008.528
251741,18.05,258912,189.758,22750,30705.708
252581,17.792,242612,165.498,21310,28726.417
253180,17.71,274872,196.833,23430,31941.933
253855,17.951,275471,192.812,23170,30863.758
254534,18.014,265181,195.265,24390,33119.097
254247,17.486,245529,204.178,22810,31302.613
254771,17.208,278139,209.249,25160,34616.279
255357,17.492,278779,213.785,24940,33562.761
255941,18.018,268335,219.866,26250,35997.151
256937,17.547,245953,226.033,24610,33682.413
257456,17.671,278814,250.648,27060,37465.339
258066,17.458,279507,251.938,26740,36154.951
258703,18.015,270170,233.775,27800,37866.732
